概念名,标签,描述摘要,所属大类,建议分解方向,分解理由,是否为原子概念,建议新建父概念,处理优先级
主簿,"主簿, 官职, 属吏",官府主管文书簿籍的属吏。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
丽,"审美, 建筑",丽，华丽、美丽；奢丽为秦亡之鉴，壮丽为未央之过，仁义为丽为王者之德。,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
丽_(概念),"文化, 生活, 丽",华丽、壮美，为建筑器物之美或奢侈之征。,情感,华丽壮美，归入审美品评,审美概念，归审美子类,,需审核,低
举事,"军事, 政治",举事，起事发兵，古代指发动军事行动或政治起义。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
举兵,"军事, 战争",发兵起事,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
举动,"社会, 行为",举动，举止行动，古代指人的行为动作或行事方式。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
举劾,"制度, 法律, 官制",检举弹劾，监察官员检举揭发违法官吏并追究其责任,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
举孝廉,"概念, 选举, 汉代",举孝廉，汉代选拔官吏的重要科目，由郡国每年向朝廷推荐孝子廉吏。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
举烽,"军事, 信号, 边防",点燃烽火发出警报，为古代边防和军事通信的重要方式。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
举白,"礼仪, 汉代, 唐代",举白，举杯饮尽之意，为古代宴饮礼仪；亦指举白幡表示降服,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
举贤任能,"成语, 治国",举荐贤才、任用能人,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
义,"文化, 伦理",义，道义，合宜之行,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
义_(概念),"思想, 文化, 义",古代道德观念，指合宜的行为和道义。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
义举,"社会, 道德",义举，符合道义之举动，正义之举。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
义从,"军事, 社会",义从，地方豪强招募之志愿武装；通鉴记班超率驰刑义从千人平西域，段颎将湟中义从讨诸羌。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
义仓,"制度, 经济",民间互助储粮备荒的粮仓，隋唐时期的重要社会保障制度。,经济,保留为父概念，分解为赋税制度、货币钱币、仓储漕运、商业贸易、农业田制等子类,古代经济制度各有独立体系,否,,中
义兵,"军事, 政治, 起义, 讨伐",为正义或公义而起的军队，古代多指讨伐暴政、匡扶社稷的武装力量。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
义士,"伦理, 社会",义士，重义轻生之人；义士以死殉义，杀身成仁为千古所仰。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
义师,"军事, 政治, 起义, 讨伐",正义之师，与义兵同义而更重礼仪色彩，常用于讨伐叛逆的官方文书中。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
义帝,"人物, 楚, 秦末",楚怀王熊心，项羽所立的义帝,政治,项羽所立义帝，政治名号,已为原子概念，归入政治名号,,需审核,低
义熙,"年号, 东晋, 刘裕",东晋安帝年号（405-418），刘裕专权时期，北伐南燕后秦。,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
义理,"学术, 思想",义理，经义道理，古代学术思想之核心范畴。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
义行,"社会, 道德",义行，合乎道义之行为。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
乌孙,"西域, 国家, 丝路",伊犁河流域游牧大国，汉结昆弟共抗匈奴，公主和亲。,民族,保留为独立父概念，下辖具体古代民族部落,古代民族部落是独立的知识领域,否,建议确认「民族·部落」是否作为新的独立父概念,中
乏,"文化, 生活",乏，缺乏，物资不足,度量,缺乏，归入抽象基础概念,抽象状态概念,,需审核,低
乐,"文化, 礼制",乐，音乐礼乐；君明乐官不明乐音为治国之道，礼乐为华夏之教，与民同乐为贤君之风。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
乐_(概念),"抽象, 情感, 乐",乐，快乐、喜悦，古代基本情感概念,情感,保留为父概念，分解为基本情感、心理状态、品评用语等子类,情感心理学有独立概念体系,否,,中
乐人,"文化, 音乐, 社会",古代以奏乐歌舞为职业的艺人，隶属乐府或宫廷,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
乐官,"官制, 礼乐",掌乐之官，大司乐、太乐令、协律郎等，通鉴载田子方论君明乐官、汉改太乐官等事。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
乐工,"文化, 音乐",从事乐器演奏的专职乐师,文艺,建议作为礼仪的子类或独立父概念,音乐文艺与礼乐制度密切相关,否,建议确认「音乐·文艺」是否作为新的独立父概念,中
乐户,制度,乐户制度,文艺,建议作为礼仪的子类或独立父概念,音乐文艺与礼乐制度密切相关,否,建议确认「音乐·文艺」是否作为新的独立父概念,中
乐章,"文化, 礼仪",乐章，祭祀典礼所用之乐歌。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
乘传,"秦汉, 驿传, 交通",乘传，秦汉驿传制度，乘驿站车马急行,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
乘势,"军事, 谋略, 战术",利用有利形势发动攻击，为古代军事谋略中把握战机的核心原则。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
乘城,"军事, 防御, 战术",登上城墙防守，为古代守城作战的基本战术动作。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
乘胜,"军事, 战术, 追击, 战略",乘着胜利的势头继续进攻。通鉴中乘胜追击是扩大战果的重要军事原则。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
乘胜追击,"成语, 军事",趁着胜利的势头继续追击,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
乘间,"军事, 谋略, 战术",乘间，趁对方有间歇或疏忽之时采取行动，为古代军事和政治谋略的重要手段。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
九卿,"官制, 秦汉, 中央官制",中国古代中央政府九位高级官员的合称，秦汉时期中央行政体系的核心，分管礼仪、宿卫、司法、财政等国务,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
九宫,"天文, 历法, 宗教",中国古代数术与历法中的重要概念，包含九宫贵神（太一、摄提等九位神祇）以及九宫算数体系，是遁甲术的核心,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
九寺,"九寺, 官制, 官署",隋唐中央官署九寺，与九卿相对应。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
九州,"周, 秦, 汉, 地理",九州，古代中国之地理区划概念，源自大禹治水,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
九流,"学术, 诸子, 百家",先秦九大学术流派——儒、道、阴阳、法、名、墨、纵横、杂、农，是诸子百家体系的核心分类,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
九锡,"礼制, 制度",九锡，古代天子赐给诸侯、大臣的九种礼器与仪仗，为最高规格的殊礼,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
九鼎,"礼制, 夏代, 象征",夏禹铸造的九只青铜鼎，象征九州天下，是王权正统的最高象征，为历代争夺的传国之宝,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
乞师,"军事, 外交, 救援",向外部势力请求援兵，古代弱国或危城在危急时向外求援的常见手段。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
